time,used_ram
.1,8.378
.2,8.369
.3,8.391
.4,8.482
.5,8.512
.6,8.522
.7,8.531
.8,8.541
.9,8.394
1.0,8.478
1.1,8.496
1.2,8.411
1.3,8.427
1.4,8.432
1.5,8.329
1.6,8.334
1.7,8.364
1.8,8.375
1.9,8.374
2.0,8.366
2.1,8.243
2.2,8.316
2.3,8.351
2.4,8.349
2.5,8.362
2.6,8.365
2.7,8.247
2.8,8.317
2.9,8.347
3.0,8.356
3.1,8.361
3.2,8.369
3.3,8.243
3.4,8.312
3.5,8.348
3.6,8.355
3.7,8.360
3.8,8.369
3.9,8.244
4.0,8.351
4.1,8.885
4.2,8.904
4.3,10.800
4.4,11.089
4.5,10.990
4.6,11.206
4.7,11.398
4.8,11.581
4.9,11.805
5.0,11.865
5.1,12.065
5.2,11.544
5.3,11.718
5.4,11.507
5.5,11.890
5.6,11.730
5.7,11.027
5.8,12.598
5.9,14.437
6.0,14.425
6.1,14.431
6.2,14.423
6.3,14.431
6.4,14.428
6.5,14.429
6.6,14.425
6.7,14.428
6.8,14.421
6.9,14.400
7.0,14.375
7.1,14.358
7.2,14.348
7.3,14.332
7.4,14.307
7.5,14.290
7.6,14.282
7.7,14.260
7.8,14.247
7.9,14.053
8.0,14.051
8.1,14.047
8.2,14.056
8.3,14.052
8.4,14.048
8.5,14.048
8.6,14.044
8.7,14.049
8.8,14.054
8.9,14.046
9.0,14.050
9.1,14.050
9.2,14.055
9.3,14.052
9.4,14.046
9.5,14.051
9.6,14.047
9.7,14.047
9.8,14.052
9.9,14.052
10.0,14.053
10.1,14.058
10.2,14.397
10.3,14.394
10.4,14.397
10.5,14.465
10.6,14.456
10.7,14.456
10.8,14.448
10.9,14.457
11.0,14.454
11.1,14.450
11.2,14.456
11.3,14.047
11.4,13.992
11.5,13.942
11.6,13.914
11.7,13.796
11.8,13.776
11.9,13.764
12.0,13.744
12.1,13.724
12.2,13.709
12.3,13.697
12.4,13.686
12.5,13.666
12.6,13.644
12.7,13.633
12.8,13.614
12.9,13.592
13.0,13.585
13.1,13.560
13.2,13.549
13.3,13.363
13.4,13.347
13.5,13.335
13.6,13.316
13.7,13.305
13.8,13.290
13.9,13.270
14.0,13.251
14.1,13.231
14.2,13.219
14.3,13.204
14.4,13.185
14.5,13.169
14.6,13.154
14.7,13.138
14.8,13.123
14.9,13.103
15.0,13.088
15.1,13.069
15.2,12.990
15.3,12.982
15.4,12.965
15.5,12.945
15.6,12.935
15.7,12.907
15.8,12.896
15.9,12.867
16.0,12.856
16.1,12.837
16.2,12.821
16.3,12.801
16.4,12.774
16.5,12.761
16.6,12.746
16.7,12.726
16.8,12.707
16.9,12.695
17.0,12.676
17.1,12.656
17.2,12.645
17.3,12.626
17.4,12.611
17.5,12.591
17.6,12.581
17.7,12.564
17.8,12.544
17.9,12.533
18.0,12.512
18.1,12.488
18.2,12.473
18.3,12.461
18.4,12.442
18.5,12.435
18.6,12.411
18.7,12.392
18.8,12.377
18.9,12.365
19.0,12.350
19.1,12.326
19.2,12.315
19.3,12.300
19.4,12.280
19.5,12.264
19.6,12.253
19.7,12.235
19.8,12.218
19.9,12.202
20.0,12.187
20.1,12.170
20.2,12.147
20.3,12.142
20.4,12.120
20.5,12.096
20.6,12.085
20.7,12.065
20.8,12.050
20.9,12.013
21.0,11.997
21.1,12.016
21.2,11.978
21.3,11.789
21.4,11.749
21.5,11.725
21.6,11.714
21.7,11.690
21.8,11.671
21.9,11.660
22.0,11.645
22.1,11.483
22.2,11.472
22.3,11.449
22.4,11.354
22.5,11.334
22.6,11.319
22.7,11.304
22.8,11.284
22.9,11.269
23.0,11.250
23.1,11.238
23.2,11.225
23.3,11.200
23.4,11.190
23.5,11.132
23.6,10.549
23.7,9.378
23.8,9.383
23.9,9.388
24.0,9.389
24.1,9.390
24.2,4.722
24.3,4.760
24.4,4.760
24.5,4.753
24.6,4.753
24.7,4.766
24.8,4.759
24.9,4.853
25.0,4.859
25.1,4.858
25.2,4.884
25.3,4.882
25.4,4.882
25.5,4.892
25.6,4.884
25.7,4.885
25.8,4.886
25.9,4.882
26.0,4.820
26.1,4.806
26.2,4.806
26.3,4.798
26.4,4.803
26.5,4.799
26.6,4.798
26.7,4.782
26.8,4.779
26.9,4.780
27.0,4.776
27.1,4.777
27.2,4.780
27.3,4.781
27.4,4.777
27.5,4.778
27.6,4.774
27.7,4.783
27.8,4.784
27.9,4.776
28.0,4.780
28.1,4.785
28.2,4.782
28.3,4.782
28.4,4.786
28.5,4.783
28.6,4.784
28.7,4.776
28.8,4.781
28.9,4.777
29.0,4.786
29.1,4.778
29.2,4.783
29.3,4.789
29.4,4.785
29.5,4.781
29.6,4.782
29.7,4.787
29.8,4.784
29.9,4.785
30.0,4.781
30.1,4.778
30.2,4.782
30.3,4.783
30.4,4.779
30.5,4.780
30.6,4.781
30.7,4.778
30.8,4.778
30.9,4.766
31.0,4.771
31.1,4.776
31.2,4.776
31.3,4.768
31.4,4.769
31.5,4.774
31.6,4.775
31.7,4.771
31.8,4.772
31.9,4.777
32.0,4.773
32.1,4.770
32.2,4.771
32.3,4.772
32.4,4.768
32.5,4.773
32.6,4.769
32.7,4.774
32.8,4.774
32.9,4.775
33.0,4.768
33.1,4.762
33.2,4.767
33.3,4.764
33.4,4.764
33.5,4.770
33.6,4.766
33.7,4.763
33.8,4.763
33.9,4.764
34.0,4.769
34.1,4.762
34.2,4.762
34.3,4.763
34.4,4.764
34.5,4.761
34.6,4.765
34.7,4.771
34.8,4.763
34.9,4.772
35.0,4.776
