time,used_ram
.1,3.965
.2,4.239
.3,4.502
.4,4.766
.5,5.074
.6,6.307
.7,6.540
.8,6.776
.9,6.941
1.0,7.167
1.1,8.423
1.2,8.704
1.3,8.954
1.4,9.221
1.5,10.437
1.6,9.980
1.7,10.201
1.8,10.433
1.9,10.636
2.0,11.795
2.1,7.457
2.2,7.684
2.3,7.919
2.4,8.166
2.5,9.446
2.6,9.696
2.7,9.934
2.8,10.187
2.9,11.317
3.0,11.759
3.1,11.374
3.2,11.698
3.3,11.557
3.4,12.506
3.5,12.964
3.6,13.311
3.7,13.725
3.8,14.089
3.9,14.473
4.0,14.838
4.1,15.111
4.2,15.286
4.3,14.735
4.4,13.431
4.5,12.391
4.6,12.362
4.7,12.569
4.8,12.824
4.9,13.608
5.0,14.049
5.1,14.500
5.2,14.878
5.3,15.363
5.4,15.903
5.5,15.535
5.6,14.108
5.7,14.521
5.8,14.710
5.9,14.713
6.0,14.707
6.1,14.715
6.2,14.415
6.3,14.982
6.4,15.057
6.5,15.130
6.6,15.191
6.7,15.263
6.8,15.327
6.9,15.406
7.0,15.461
7.1,15.524
7.2,15.577
7.3,15.627
7.4,15.675
7.5,15.714
7.6,15.742
7.7,15.771
7.8,15.808
7.9,15.832
8.0,15.851
8.1,15.891
8.2,15.901
8.3,15.914
8.4,15.912
8.5,15.925
8.6,15.938
8.7,15.942
8.8,15.950
8.9,15.943
9.0,15.938
9.1,15.942
9.2,15.927
9.3,15.917
9.4,15.918
9.5,15.919
9.6,15.920
9.7,15.922
9.8,15.927
9.9,15.936
10.0,15.940
10.1,15.938
10.2,15.949
10.3,15.953
10.4,15.958
10.5,15.959
10.6,15.963
10.7,15.970
10.8,15.967
10.9,15.977
11.0,15.980
11.1,15.991
11.2,15.997
11.3,15.999
11.4,16.008
11.5,16.010
11.6,16.078
11.7,16.192
11.8,16.310
11.9,16.374
12.0,16.378
12.1,16.383
12.2,16.392
12.3,16.400
12.4,16.403
12.5,16.404
12.6,16.399
12.7,16.384
12.8,16.370
12.9,16.355
13.0,16.428
13.1,16.429
13.2,16.401
13.3,16.390
13.4,16.378
13.5,16.370
13.6,16.355
13.7,16.344
13.8,16.333
13.9,16.316
14.0,16.301
14.1,16.287
14.2,16.280
14.3,16.271
14.4,16.255
14.5,16.257
14.6,16.250
14.7,16.255
14.8,16.272
14.9,16.236
15.0,16.175
15.1,16.181
15.2,16.184
15.3,16.195
15.4,16.204
15.5,16.212
15.6,16.213
15.7,16.211
15.8,16.216
15.9,16.225
16.0,16.223
16.1,16.231
16.2,16.231
16.3,16.241
16.4,16.252
16.5,16.250
16.6,16.322
16.7,16.337
16.8,16.343
16.9,16.360
17.0,16.365
17.1,16.371
17.2,16.375
17.3,16.385
17.4,16.385
17.5,16.391
17.6,16.390
17.7,16.399
17.8,16.405
17.9,16.399
18.0,16.413
18.1,16.405
18.2,16.417
18.3,16.407
18.4,16.409
18.5,16.417
18.6,16.417
18.7,16.407
18.8,16.411
18.9,16.405
19.0,16.411
19.1,16.333
19.2,16.336
19.3,16.329
19.4,16.335
19.5,16.323
19.6,16.324
19.7,16.329
19.8,16.338
19.9,16.334
20.0,16.331
20.1,16.359
20.2,16.354
20.3,16.354
20.4,16.344
20.5,16.345
20.6,16.345
20.7,16.352
20.8,16.352
20.9,16.343
21.0,16.348
21.1,16.345
21.2,16.329
21.3,16.347
21.4,16.344
21.5,16.341
21.6,16.341
21.7,16.341
21.8,16.365
21.9,16.376
22.0,16.379
22.1,16.395
22.2,16.393
22.3,16.397
22.4,16.399
22.5,16.419
22.6,16.432
22.7,16.432
22.8,16.450
22.9,16.432
23.0,16.460
23.1,16.435
23.2,16.452
23.3,16.453
23.4,16.440
23.5,16.440
23.6,16.437
23.7,16.453
23.8,16.453
23.9,16.460
24.0,16.457
24.1,16.458
24.2,16.439
24.3,16.458
24.4,16.450
24.5,16.456
24.6,16.450
24.7,16.439
24.8,16.456
24.9,16.466
25.0,16.459
25.1,16.458
25.2,16.441
25.3,16.449
25.4,16.447
25.5,16.462
25.6,16.461
25.7,16.459
25.8,16.445
25.9,16.448
26.0,16.453
26.1,16.436
26.2,16.464
26.3,16.438
26.4,16.443
26.5,16.430
26.6,16.442
26.7,16.447
26.8,16.442
26.9,16.444
27.0,16.462
27.1,16.455
27.2,16.448
27.3,16.444
27.4,16.443
27.5,16.443
27.6,16.447
27.7,16.442
